Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Date,,,,,
2026-08-05,4245.7998046875,4262.2001953125,4129.5,4130.0,1349
2026-08-06,4242.0,4297.0,4228.0,4297.0,3101
2026-08-07,4340.7001953125,4371.5,4274.0,4277.0,422
2026-08-10,4361.7998046875,4390.10009765625,4336.10009765625,4336.10009765625,1303
2026-08-11,4383.0,4408.60009765625,4365.10009765625,4408.60009765625,204
2026-08-12,4408.89990234375,4434.0,4406.2998046875,4406.5,660
2026-08-13,4363.60009765625,4445.0,4350.0,4403.5,1491
2026-08-14,4380.39990234375,4397.10009765625,4315.0,4322.10009765625,673
2026-08-17,4417.7998046875,4428.5,4386.5,4394.7998046875,716
2026-08-18,4366.0,4434.10009765625,4330.7001953125,4415.2001953125,1283
2026-08-19,4489.39990234375,4524.10009765625,4327.60009765625,4339.7998046875,1336
2026-08-20,4516.2998046875,4530.0,4486.0,4506.7998046875,478
2026-08-21,4624.10009765625,4624.10009765625,4560.0,4560.0,311
2026-08-24,4640.7998046875,4670.89990234375,4635.10009765625,4638.0,1202
2026-08-25,4638.10009765625,4638.10009765625,4626.2001953125,4630.5,321
2026-08-26,4598.2001953125,4615.2998046875,4598.2001953125,4615.2998046875,1051
2026-08-27,4609.7001953125,4609.7001953125,4609.7001953125,4609.7001953125,5558
2026-08-28,4478.10009765625,4625.5,4451.7998046875,4599.2998046875,1758
2026-08-31,4431.10009765625,4466.89990234375,4410.89990234375,4430.0,360
2026-09-01,4348.0,4402.0,4329.10009765625,4402.0,191
2026-09-02,4366.2998046875,4390.2001953125,4292.2001953125,4328.0,72
2026-09-03,4491.7001953125,4510.0,4426.0,4426.2998046875,16
2026-09-04,4429.7998046875,4429.7998046875,4429.7998046875,4429.7998046875,16
